# Data taken  from Mumpower et al PPNP 86 (2016),,,,,,,,,,,,,,,,,,
"# F-b, F-nc, F-m mean sensitivity factors for beta properties, neutron capture, and mass respectively",,,,,,,,,,,,,,,,,,
"# -lehw, -hehw, -cw, -nsm refer to low entropy hot wind, high entropy hot wind, cold wind, neutron star merger",,,,,,,,,,,,,,,,,,
# new (not in Mum16):,,,,,,,,,,,,,,,,,,
# -max means maximum of the four scenarios,,,,,,,,,,,,,,,,,,
# F-all-max means maximum F for all scenarios and all nuclear inputs,,,,,,,,,,,,,,,,,,
# Asterisks replaced with 0.01,,,,,,,,,,,,,,,,,,
# Dashes replaced with 0.001,,,,,,,,,,,,,,,,,,
# Z,N,A,F-b-lehw,F-b-hehw,F-b-cw,F-b-nsm,F-nc-lehw,F-nc-hehw,F-nc-cw,F-nc-nsm,F-m-lehw,F-m-hehw,F-m-cw,F-m-nsr,F-b-max,F-nc-max,F-m-max,F-all-max
45,73,118,0.01,0.01,0.01,0.13,0.01,0.01,0.02,0.28,0.001,0.001,0.001,0.001,0.13,0.28,0.001,0.28
45,74,119,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.12,0.001,0.001,0.001,0.001,0.08,0.12,0.001,0.12
45,75,120,0.01,0.01,0.01,0.08,0.01,0.01,0.02,0.39,0.01,0.01,0.01,0.1,0.08,0.39,0.1,0.39
45,76,121,0.01,0.01,0.01,0.14,0.01,0.01,0.02,0.28,0.03,0.01,0.01,0.09,0.14,0.28,0.09,0.28
45,77,122,0.01,0.01,0.01,0.17,0.01,0.01,0.03,0.43,0.01,0.01,0.01,0.15,0.17,0.43,0.15,0.43
45,78,123,0.01,0.01,0.01,0.12,0.01,0.01,0.02,0.35,0.03,0.01,0.01,0.18,0.12,0.35,0.18,0.35
45,79,124,0.01,0.01,0.01,0.38,0.01,0.01,0.04,0.76,0.03,0.01,0.01,0.27,0.38,0.76,0.27,0.76
45,80,125,0.01,0.01,0.01,0.31,0.01,0.01,0.04,1.28,0.02,0.01,0.01,0.27,0.31,1.28,0.27,1.28
45,81,126,0.01,0.01,0.03,0.72,0.01,0.01,0.09,1.74,3.42,0.2,0.36,2.16,0.72,1.74,3.42,3.42
45,82,127,30.16,4.49,0.37,6.48,0.01,0.01,1.11,1.11,1.61,0.14,3.88,3.49,30.16,1.11,3.88,30.16
45,84,129,1.57,0.01,0.35,1.52,0.01,0.01,1.24,1.15,0.06,0.01,10.23,10.99,1.57,1.24,10.99,10.99
45,85,130,0.01,0.01,0.04,0.11,0.01,0.01,0.17,0.11,2.14,0.01,7.01,6.53,0.11,0.17,7.01,7.01
46,71,117,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.6,0.001,0.001,0.001,0.001,0.07,0.6,0.001,0.6
46,72,118,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.14,0.001,0.001,0.001,0.001,0.1,0.14,0.001,0.14
46,73,119,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.31,0.001,0.001,0.001,0.001,0.12,0.31,0.001,0.31
46,74,120,0.01,0.01,0.01,0.69,0.01,0.01,0.01,0.17,0.001,0.001,0.001,0.001,0.69,0.17,0.001,0.69
46,75,121,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.87,0.001,0.001,0.001,0.001,0.3,0.87,0.001,0.87
46,76,122,0.01,0.01,0.02,0.47,0.01,0.01,0.02,0.26,0.001,0.001,0.001,0.001,0.47,0.26,0.001,0.47
46,77,123,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.36,0.01,0.01,0.01,0.23,0.17,0.36,0.23,0.36
46,78,124,0.01,0.01,0.03,0.82,0.01,0.01,0.02,0.46,0.04,0.01,0.03,1.34,0.82,0.46,1.34,1.34
46,79,125,0.01,0.01,0.03,0.99,0.01,0.01,0.05,1.5,0.04,0.01,0.03,0.71,0.99,1.5,0.71,1.5
46,80,126,0.01,0.02,0.18,4.5,0.01,0.03,0.11,2.87,0.11,0.02,0.6,2.46,4.5,2.87,2.46,4.5
46,81,127,0.02,0.03,0.22,5.16,0.04,0.08,0.24,4.69,1.49,0.14,0.48,1.85,5.16,4.69,1.85,5.16
46,82,128,9.83,26.19,0.49,4.97,0.01,0.01,2.26,1.23,4.71,3.54,1.91,3.06,26.19,2.26,4.71,26.19
46,83,129,0.14,0.02,0.3,0.71,1.31,0.01,1.21,0.74,3.98,0.01,1.1,0.71,0.71,1.31,3.98,3.98
46,84,130,96.99,0.37,0.89,1.33,0.01,0.01,4.12,1.63,17.7,0.38,43.73,24.19,96.99,4.12,43.73,96.99
46,85,131,0.01,0.01,0.22,0.25,0.01,0.01,0.51,0.26,0.03,0.01,34.81,17.87,0.25,0.51,34.81,34.81
47,70,117,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.001,0.001,0.001,0.001,0.01,0.12,0.001,0.12
47,71,118,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.13,0.001,0.001,0.001,0.001,0.02,0.13,0.001,0.13
47,72,119,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.39,0.001,0.001,0.001,0.001,0.02,0.39,0.001,0.39
47,73,120,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.95,0.001,0.001,0.001,0.001,0.38,0.95,0.001,0.95
47,74,121,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.63,0.001,0.001,0.001,0.001,0.03,0.63,0.001,0.63
47,75,122,0.01,0.01,0.01,0.32,0.01,0.01,0.01,0.8,0.001,0.001,0.001,0.001,0.32,0.8,0.001,0.8
47,76,123,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.31,0.001,0.001,0.001,0.001,0.04,0.31,0.001,0.31
