41,25,3.53
40,26,65.9
39,27,42.7
38,28,1.69
42,25,1.55
41,26,105
40,27,207
39,28,28.6
42,26,117
41,27,713
40,28,305
39,29,2.58
43,26,68
42,27,1430
41,28,1860
40,29,82.3
44,26,27.7
43,27,2090
42,28,8090.00000000001
41,29,882
41,29,294
40,30,8.01
45,26,5.87
44,27,1750
43,28,22100
42,29,10100
41,30,214
41,30,50.3
44,27,1060
44,28,45600
43,29,61500
42,30,5570
41,31,11
46,27,336
45,28,55300
44,29,232000
43,30,69200
42,31,546
47,27,60.3
46,28,40200
45,29,564000
44,30,519000
43,31,15400
42,32,16.9
48,27,6.43
47,28,17400
46,29,853999.999999999
45,30,2320000
44,31,232000
43,32,885
43,32,132
48,28,4760
47,29,913000
46,30,7899999.99999999
45,31,2520000
44,32,43500
43,33,13.5
49,28,801
48,29,608000
47,30,17500000
46,31,16700000
45,32,132000
45,32,882000.000000001
44,33,1280
50,28,72.4
49,29,234000
48,30,25100000
47,31,72899999.9999999
46,32,15100000
45,33,77099.9999999999
44,34,12.5
50,29,65800
49,30,28000000
48,31,266000000
47,32,172000000
46,33,3390000
45,34,309
45,34,2070
51,29,6270
50,30,10700000
49,31,349000000
48,32,664999999.999999
47,33,45199999.9999999
46,34,127000
45,35,4.27
52,29,668
51,30,5100000
50,31,655000000
49,32,4030000000
48,33,924999999.999999
47,34,9409999.99999999
47,34,1400000
46,35,2200
53,29,20.9
52,30,757000
51,31,426000000.000001
50,32,9370000000
49,33,3510000000
49,33,3510000000
48,34,329000000
53,30,51800
52,31,128000000
51,32,10700000000
50,33,25200000000
49,34,797000000
49,34,3400000000
48,35,16700000
47,36,392
54,30,2300
53,31,26500000
52,32,9409999999.99998
51,33,76000000000.0001
50,34,42400000000
49,35,449000000
49,35,253000000
54,31,934000
53,32,1430000000
52,33,41700000000
51,34,36500000000
51,34,36500000000
50,35,4510000000
49,36,2160000
49,36,9199999.99999999
55,31,220000
54,32,1500000000
53,33,172000000000
52,34,931000000000.001
51,35,102000000000
51,35,102000000000
55,32,132000000
54,33,64000000000
53,34,1240000000000
52,35,825999999999.999
51,36,33700000000
50,37,27000000
49,38,119
56,32,2740000
55,33,5810000000.00001
54,34,423000000000
53,35,883000000000.001
52,36,2090000000000
51,37,443999999.999999
